#SampleID	id
B_GCE1	1
B_GCE2	2
B_GCE3	3
B_GCE4	4
B_GCE5	5
B_GCE6	6
B_GCE7	7
B_GCE8	8
B_GCE9	9
B_GCE10	10
B_GCE11	11
B_GCE12	12
B_GCE13	13
B_GCE14	14
B_GCE15	15
B_GCE16	16
B_GCE17	17
B_GCE18	18
B_GCE19	19
B_GCE20	20
B_GCE21	21
B_GCE22	22
B_GCE23	23
B_GCE24	24
B_GCE25	25
B_GCE26	26
B_GCE27	27
B_GCE28	28
B_GCE29	29
B_GCE30	30
B_GCE31	31
B_GCE32	32
B_GCE33	33
B_GCE34	34
B_GCE35	35
B_GCE36	36
B_GCE37	37
B_GCE38	38
B_GCE39	39
B_GCE40	40
B_GCE41	41
B_GCE42	42
B_GCE43	43
B_GCE44	44
B_GCE45	45
B_GCE46	46
B_GCE47	47
B_GCE48	48
B_GCE49	49
B_GCE50	50
B_GCE51	51
B_GCE52	52
B_GCE53	53
B_GCE54	54
B_GCE55	55
B_GCE56	56
B_GCE57	57
B_GCE58	58
B_GCE59	59
B_GCE60	60
B_GCE61	61
B_GCE62	62
B_GCE63	63
B_GCE64	64
B_GCE65	65
B_GCE66	66
B_GCE67	67
B_GCE68	68
B_GCE69	69
B_GCE70	70
B_GCE71	71
B_GCE72	72
B_GCE73	73
B_GCE74	74
B_GCE75	75
B_GCE76	76
B_GCE77	77
B_GCE78	78
B_GCE79	79
B_GCE80	80
B_GCE81	81
B_GCE82	82
B_GCE83	83
B_GCE84	84
B_GCE85	85
B_GCE86	86
B_GCE87	87
B_GCE88	88
B_GCE89	89
B_GCE90	90
B_GCE91	91
B_GCE92	92
B_GCE93	93
B_GCE94	94
B_GCE95	95
B_GCE96	96
B_GCE97	97
B_GCE98	98
B_GCE99	99
B_GCE100	100
B_GCE101	101
B_GCE102	102
B_GCE103	103
B_GCE104	104
B_GCE105	105
B_GCE106	106
B_GCE107	107
B_GCE108	108
B_GCE109	109
B_GCE110	110
B_GCE111	111
B_GCE112	112
B_GCE113	113
B_GCE114	114
B_GCE115	115
B_GCE116	116
B_GCE117	117
B_GCE118	118
B_GCE119	119
B_GCE120	120
B_GCE121	121
B_GCE122	122
B_GCE123	123
B_GCE124	124
B_GCE125	125
B_GCE126	126
B_GCE127	127
B_GCE128	128
B_GCE129	129
B_GCE131	131
B_GCE134	134
B_GCE136	136
B_GCE137	137
B_GCE139	139
B_GCE142	142
B_GCE144	144
